문서제목	프로그램 명세서
시스템명	장비시뮬레이션 가시화 프로그램
패키지(확장)	morph.lam_control_1
작성 기준	source/extensions/morph.lam_control_1/morph/lam_control_1/
관련 웹 연동	sk.hyview_messaging (lam_handler.py, lam_sim_bridge.py)
정리 방식	메소드 1행 · 9열 (업무분류~출력데이터) · 탭 구분 엑셀 붙여넣기
DB/저장	RDB 미사용. Federation·프리런은 data/api_queries/, data/csv_prerun/ JSON 파일. API는 Federation REST·HyView T2V/V2T.

업무분류	패키지	class id	class 명	메소드 id	메소드명	입력 데이터	메소드 설명 및 로직	출력데이터
Federation API	morph.lam_control_1.lam_federation_client	lam_federation_client	Federation HTTP 클라이언트	fetch_federation_pages	페이지네이션 전체 fetch	url, body, limit, initial_offset, screen 등	[기본] POST 반복, pagination.has_next=false까지 rows 병합. offset은 행 오프셋(0→50→100…). [예외] HTTP 4xx/5xx, 10000페이지 초과. [DB] 미사용. [API] Federation REST POST.	(merged: dict, meta: dict)
Federation API	morph.lam_control_1.lam_federation_client	lam_federation_client	Federation HTTP 클라이언트	fetch_single_post	단일 POST	url, body, limit, offset	[기본] 1회 요청(테스트창 「POST 1회」). [DB] 미사용. [API] Federation REST POST.	(status, data, raw)
Federation API 테스트	morph.lam_control_1.lam_federation_test_window	LamFederationTestWindow	LAM Federation API 테스트 창	_on_fetch_all	전체 fetch	UI url/body/limit/offset	[기본] fetch_federation_pages 호출, 응답 편집기 반영. [DB] 미사용.	없음
Federation API 테스트	morph.lam_control_1.lam_federation_test_window	LamFederationTestWindow	LAM Federation API 테스트 창	_on_parse_sim	파싱·시뮬	편집기 JSON, body, screen	[기본] run_federation_response_simulation — 웹 재생과 동일 파이프라인(fetch 제외). [DB] 미사용.	on_complete 로그
HyView 메시징	sk.hyview_messaging.extension_handlers.lam_handler	LamHandler	LAM HyView T2V 시뮬 시작 핸들러	_on_req_start_simulation	T2V 시뮬 시작 요청	event.payload.configs	[기본] handle_start_simulation 위임. [DB] 미사용. [API] HyView T2V 수신.	V2T dispatch
HyView 메시징	sk.hyview_messaging.lam_sim_bridge	lam_sim_bridge	LAM Kit 시뮬 브리지	handle_start_simulation	Kit 시뮬 브리지	payload, dispatch	[기본] run_federation_start_simulation(ext, payload, limit=FEDERATION_FETCH_LIMIT). 완료 시 V2T {code, data.pipeline}. [예외] Extension 미준비 시 오류 코드. [DB] 미사용. [API] HyView V2T.	V2T envelope
CSV 시뮬 재생	morph.lam_control_1.lam_csv_play_screen	CsvPlayScreenSession	화면별 CSV 재생 세션	csv_play_screen_session	화면 세션 조회	screen: Optional[int]	[기본] 화면1·2 독립 stop/pause/progress/timeline 상태 조회. [DB] 미사용(메모리).	CsvPlayScreenSession
CSV 시뮬 재생	morph.lam_control_1.lam_csv_screen_runtime	CsvScreenRuntime	화면별 뷰포트 런타임	run_csv_screen_play_preflight	화면 Play preflight	runtime: CsvScreenRuntime	[기본] 카메라 fly 대기, prim hide. [분기] fly ON 시 overlay 탑뷰 선점 방지. [DB] 미사용.	bool
CSV 시뮬 재생	morph.lam_control_1.lam_csv_screen_runtime	CsvScreenRuntime	화면별 뷰포트 런타임	sync_csv_screen_overlays	화면별 오버레이 sync	lam_window, screen	[기본] 3D 라벨·탑뷰·prim hide 체크박스 반영. [DB] 미사용.	없음
시퀀스 실행	morph.lam_control_1.lam_sequence_engine	LamSequenceRunner	LAM JSON 시퀀스 실행기	run	시퀀스 동기 실행	steps, speed_scale, usd_context_name	[기본] MOVE/ROTATE/VISIBILITY/USD_TIMELINE 스텝 순차 실행. 메인 스레드 USD write는 _dispatch_main_wait. [DB] 미사용.	없음
시퀀스 실행	morph.lam_control_1.lam_sequence_engine	LamSequenceRunner	LAM JSON 시퀀스 실행기	stop	시퀀스 중지	cancel_all_move_rotate	[기본] stop_flag. [분기] (옵션) 화면별 애니 중지. [DB] 미사용.	없음
