문서제목	프로그램 명세서
시스템명	EBS 시뮬레이션 프로그램
패키지(확장)	morph.tbs_control_2
작성 기준	source/extensions/morph.tbs_control_2/morph/tbs_control_2/
관련 웹 연동	morph.hyview_messaging (ebs_handler.py, tbs_sim_bridge.py), HTTP Remote UI (kit_web_api_registry.py)
정리 방식	메소드 1행 · 9열 (업무분류~출력데이터) · 탭 구분 엑셀 붙여넣기
DB/저장	RDB 미사용. 프리런·설정은 data/sim_prerun/*.json, data/sim_sequences/*.json, config/*.json 파일. API는 Federation/HTTP REST·HyView T2V/V2T.

업무분류	패키지	class id	class 명	메소드 id	메소드명	입력 데이터	메소드 설명 및 로직	출력데이터
EBS 시뮬 제어	morph.tbs_control_2.control_window	control_window	EBS 시뮬레이션 제어창	on_sim_stop_for_screen	화면별 시뮬 정지	ext: Any, screen: int	[기본] 해당 화면 worker만 stop, 타 화면 재생 유지. [DB] 미사용.	없음
EBS 시뮬 제어	morph.tbs_control_2.control_window	control_window	EBS 시뮬레이션 제어창	on_sim_ebs_enabled_changed_for_case	케이스별 EBS 활성 변경	ext: Any, case_id: int	[기본] EBS on/off에 따라 EP 포트 visibility·바 그래프·타임라인 표시 갱신. [DB] 미사용.	없음
EBS 시뮬 제어	morph.tbs_control_2.control_window	control_window	EBS 시뮬레이션 제어창	handle_sim_event_for_animation	시뮬 이벤트 애니메이션 처리	ext: Any, payload: Dict, verbose: bool	[기본] payload → XML 생성/역파싱 → event_animation_rules/map 조회 → JSON 시퀀스 실행(SequenceRunner). [분기] 포트 ID·이벤트 키별 매핑. [예외] 매핑 없음 시 로그만. [DB] 미사용(시퀀스 JSON 파일).	없음
EBS 시뮬 재생	morph.tbs_control_2.control_sim_prerun_playback	SimTimelinePlayer	EBS 시뮬 타임라인 재생기	play	타임라인 재생	items, speed_scale, screen	[기본] 프리런 결과(SimPreRunResult)를 시각 순서대로 실행. JSON 애니·dwell·바 그래프 갱신 연동. [분기] 중지/seek 시 checkpoint 저장. [DB] 미사용.	없음
EBS 시뮬 재생	morph.tbs_control_2.control_sim_prerun_playback	SimTimelinePlayer	EBS 시뮬 타임라인 재생기	seek_to_index	타임라인 탐색	index: int	[기본] 지정 항목 시각으로 점프, 포트 occupancy·바 상태 스냅샷 복원. [DB] 미사용.	없음
EBS 시뮬 재생	morph.tbs_control_2.control_sim_prerun_playback	PlaybackEngine	EBS 재생 엔진	run	재생 루프 실행	env: PlaybackEnv	[기본] worker 스레드에서 타임라인 항목 순회, 중지 이벤트 폴링. [DB] 미사용.	없음
듀얼 화면 재생	morph.tbs_control_2.control_sim_multi_playback	control_sim_multi_playback	듀얼 화면 동시 재생 제어	start_multi_screen_playback	다중 화면 재생 시작	ext, screens: List[int]	[기본] 화면1·2 각각 독립 worker·세션으로 동시 재생. 화면별 stop/pause 분리. [DB] 미사용.	없음
XML 처리	morph.tbs_control_2.xml_generator	xml_generator	EBS 시뮬 XML 생성·파싱	build_xml_string	시뮬 XML 생성	시퀀스명, lot/carrier/process 파라미터	[기본] MES 스타일 XML 문자열 생성. [DB] 미사용.	str (XML)
XML 처리	morph.tbs_control_2.xml_generator	xml_generator	EBS 시뮬 XML 생성·파싱	parse_xml_string	시뮬 XML 역파싱	xml_text: str	[기본] XML → dict(포트·이벤트·시각). [예외] 파싱 실패 시 None. [DB] 미사용.	Optional[dict]
HyView 메시징	morph.hyview_messaging.extension_handlers.ebs_handler	EBSHandler	EBS HyView T2V 이벤트 핸들러	get_event_handlers	수신 이벤트 맵 반환	없음	[기본] T2V_request_start_simulation, T2V_request_seek_simulation, T2V_request_ebs_enable 등 → 콜백 매핑. [DB] 미사용. [API] HyView T2V.	Dict[str, Callable]
HyView 메시징	morph.hyview_messaging.extension_handlers.ebs_handler	EBSHandler	EBS HyView T2V 이벤트 핸들러	_on_req_start_simulation	시뮬 시작 요청 처리	event: carb.events.IEvent	[기본] payload configs[2] 파싱 → tbs_sim_bridge.handle_start_simulation 위임 → 완료 시 V2T data.result 응답. [DB] 미사용. [API] HyView T2V/V2T.	V2T 이벤트 dispatch
HyView 메시징	morph.hyview_messaging.extension_handlers.ebs_handler	EBSHandler	EBS HyView T2V 이벤트 핸들러	_on_req_seek_simulation	시뮬 탐색 요청	event	[기본] seek index/시각 → handle_seek_simulation. [DB] 미사용. [API] HyView V2T.	V2T 응답
HyView 메시징	morph.hyview_messaging.extension_handlers.ebs_handler	EBSHandler	EBS HyView T2V 이벤트 핸들러	_on_req_ebs_enable	EBS 활성 요청	event	[기본] ebs_enable, case → handle_ebs_enable. [DB] 미사용. [API] HyView V2T.	V2T 응답
HyView 메시징	morph.hyview_messaging.tbs_sim_bridge	tbs_sim_bridge	HyView–Kit EBS 시뮬 브리지	handle_start_simulation	웹 시뮬 시작	payload, dispatch, event_name	[기본] 메인 스레드 큐 → configs 정규화 → 화면 표시 전환 → 프리런 v2 JSON 생성 → (옵션) 자동 재생. [분기] case0/case1 비어 있으면 해당 화면 스킵. [예외] Extension 미준비 시 code=1. [DB] 미사용(프리런 JSON 파일). [API] HyView V2T.	dispatch(event_name, {code, message, data})
HyView 메시징	morph.hyview_messaging.tbs_sim_bridge	tbs_sim_bridge	HyView–Kit EBS 시뮬 브리지	handle_seek_simulation	웹 시뮬 탐색	payload, dispatch	[기본] 재생 중/정지 상태에서 타임라인 인덱스 이동. [DB] 미사용. [API] HyView V2T.	V2T envelope
HyView 메시징	morph.hyview_messaging.tbs_sim_bridge	tbs_sim_bridge	HyView–Kit EBS 시뮬 브리지	handle_ebs_enable	웹 EBS 토글	payload, dispatch	[기본] case별 ebs_enabled 적용, 포트 레이아웃 갱신. [DB] 미사용. [API] HyView V2T.	V2T envelope
HyView 메시징	morph.hyview_messaging.tbs_sim_bridge	tbs_sim_bridge	HyView–Kit EBS 시뮬 브리지	handle_eqp_change	장비 변경	payload, dispatch	[기본] eqp_id 변경 시 케이스 설정·포트 레이아웃 재적용. [DB] 미사용. [API] HyView V2T.	V2T envelope
HyView 메시징	morph.hyview_messaging.tbs_sim_bridge	tbs_sim_bridge	HyView–Kit EBS 시뮬 브리지	handle_control_simulation	시뮬 제어(시작/정지/초기화)	payload, dispatch	[기본] action 필드에 따라 start/stop/reset 분기. [DB] 미사용. [API] HyView V2T.	V2T envelope
애니메이션 스케줄	morph.tbs_control_2.tbs_instance_registry	AnimationInstanceRegistry	애니메이션 인스턴스 등록소	register	인스턴스 등록	prim 경로, 스텝 정의	[기본] USD prim별 애니메이션 인스턴스 등록. [DB] 미사용.	없음
애니메이션 스케줄	morph.tbs_control_2.tbs_instance_registry	AnimationInstanceRegistry	애니메이션 인스턴스 등록소	begin_master_timeline_mode	마스터 타임라인 모드 시작	prim_path	[기본] OmniGraph/USD Timeline 연동 재생 준비. [DB] 미사용.	bool
애니메이션 스케줄	morph.tbs_control_2.tbs_playback_scheduler	PlaybackScheduler	재생 스케줄러	stop_all	전체 스케줄 정지	없음	[기본] 진행 중 MOVE/ROTATE·타임라인 정지. [DB] 미사용.	없음
