테스트케이스명	테스트 절차	사전조건	테스트데이터	예상결과	테스트결과	비고
EBS FOUP 공정(EP) 시간 — CASE A·B	 CASE A·B FOUP공정(EP) min~max(초)를 다르게 입력한다.	제어창 표시	caseA foup 60~90; caseB foup 120~150	각 CASE에 입력값이 유지된다.		
EBS 이동 시간 — EBS ON (OHT·BP·EP)	 EBS 적용 ON 상태에서 CASE A OHT→IN/OUT/EP, IN/OUT→BP, BP→EP, EP→OHT 구간 min~max를 입력한다.	EBS ON; CASE A	caseA 각 이동 구간 min/max 설정	EBS ON일 때 네 구간 입력 필드가 모두 표시되고 값이 유지된다.		
EBS 이동 시간 — EBS OFF	 EBS 적용 OFF로 전환한다. OHT→EP, EP→OHT만 표시되고 IN/OUT→BP·BP→EP 구간이 숨겨지는지 확인한다.	CASE A 또는 B	 ebs_enabled OFF	이동 시간 UI가 OHT↔EP 두 구간만 남고 BP 관련 구간은 보이지 않는다.		
EBS 초기 LOT 적재 포트 — 시작 시 FULL (CASE A)	 CASE A 초기 LOT 적재 포트에서 EP1(또는 BP1 등)을 체크한 뒤 「시작」으로 시뮬을 실행한다. 재생 시작 직후 Timetable·포트 상태·3D에서 해당 포트가 FULL인지 확인한다.	EBS ON; CASE A; 화면1	caseA init_ep1=ON (또는 init_bp1)	시작 시점에 체크한 포트가 FULL 상태로 재생이 시작된다.		「시작 시점에 FULL」 UI 문구 기준.
EBS 초기 LOT 적재 포트 — 시작 시 FULL (CASE B)	 CASE B에서 CASE A와 다른 초기 적재 포트를 체크하고 화면2만 「시작」한다.	EBS ON; CASE B	caseB init_ep2=ON 등	화면2만 선택한 초기 포트가 FULL로 시작한다.		
EBS 고장(비가동) 포트 — 재생 중 즉시 반영 (CASE A)	시뮬 재생 중 CASE A 고장 포트에서 EP1(또는 BP1)을 체크한다. 해당 포트로의 투입·이동이 중단되고 Timetable·3D 포트 상태에 down/제외가 반영되는지 확인한다.	재생 중; EBS ON	caseA fault_ep1=ON (재생 중)	체크 직후 해당 포트가 라우팅에서 제외되고 FOUP/OHT 동작이 설정대로 바뀐다.		「실행 중에도 즉시 반영」 UI 문구 기준.
EBS 고장(비가동) 포트 — 재생 중 (CASE B)	화면2 재생 중 CASE B에서 다른 포트를 고장 처리한다. 화면1에는 영향 없는지 확인한다.	양쪽 재생 또는 화면2만 재생	caseB fault_bp2=ON	화면2만 고장 포트가 반영되고 화면1 포트 동작은 유지된다.		
EBS A→B 설정 copy	 CASE A에서 LOT·EP·EBS·시간·초기/고장 등을 고유 값으로 설정한 뒤 「A→B copy」를 클릭한다. CASE B 필드가 CASE A와 동일해지는지, CASE A는 변하지 않는지 확인한다.	듀얼 CASE 제어창	caseA 고유 설정 후 A→B copy	CASE B가 CASE A 설정과 동일해지고 CASE A 원본은 유지된다.		
EBS B→A 설정 copy	 CASE B 고유 설정 후 「B→A copy」를 클릭한다. CASE A가 CASE B와 동일해지는지 확인한다.	듀얼 CASE 제어창	caseB 고유 설정 후 B→A copy	CASE A가 CASE B 설정을 복사받고 CASE B 원본은 유지된다.		
EBS copy 후 독립 수정	 A→B copy 후 CASE B에서 LOT 수만 변경한다. CASE A LOT 수가 바뀌지 않는지 확인한다.	copy 직후	caseB lot_count만 변경	CASE B만 변경되고 CASE A는 copy 당시 값을 유지한다.		
EBS Kit 시작 — 화면1만	 CASE A에서 설정 후 「시작」(화면1만)을 클릭한다. 화면1 Viewport·Timetable·Bar graph가 재생되고 화면2는 정지 상태인지 확인한다.	화면1 USD; CASE A 설정	caseA 고유 settings → 시작	화면1만 프리런·재생이 진행된다.		
EBS Kit 시작 — 화면2만	 CASE B 「시작」(화면2만)을 클릭한다.	화면2 USD; CASE B 설정	caseB 고유 settings → 시작	화면2만 재생된다.		
EBS Kit 시작 — 화면1·2 동시	 CASE A·B를 서로 다른 설정(EBS ON/OFF, EP 수, LOT 수 등)으로 맞춘 뒤 각각 「시작」하거나 웹/멀티 시작으로 양쪽을 실행한다. 두 Viewport·모니터가 동시에 독립 재생되는지 확인한다.	듀얼 화면	 caseA EBS ON EP2; caseB EBS OFF EP3 등	두 화면이 각 설정값으로 동시에 재생되며 서로 섞이지 않는다.		
EBS 웹 시뮬 시작 — case0·case1 독립 설정	웹 UI에서 case0·case1 configs(EBS, EP, LOT, 시간, init/fault 등)를 서로 다르게 넣고 시뮬 시작(또는 RUN→RESULT 흐름)을 실행한다. Kit 양쪽 Viewport 재생을 확인한다.	Kit·웹 연결; USD·엔진 준비	 configs[0]≠configs[1]	각 화면이 웹에서 지정한 설정으로 프리런·재생된다.		
EBS 시뮬 진행 — 초기 적재 포트 동작 (양쪽)	 caseA·caseB에 서로 다른 init 포트를 설정해 동시 시작 후 재생 초반 Timetable·포트 상태 HUD에서 init FULL 포트가 설정과 일치하는지 확인한다.	동시 재생	caseA init_ep1; caseB init_ep2	각 화면 초기 포트 FULL 상태가 해당 CASE init 설정과 일치한다.		
EBS 시뮬 진행 — 고장 포트 동작 (양쪽)	재생 중 caseA·caseB에서 서로 다른 fault 포트를 켠다. 각 화면에서 해당 포트만 비가동 처리되는지 확인한다.	동시 재생 중	caseA fault_ep1; caseB fault_ep2	화면별 고장 포트만 라우팅 제외·down 표시된다.		
EBS Timetable — 공정별 time 정보 (CASE A)	화면1 재생 또는 프리런 후 Timetable 창에서 event, t, proc_sec, anim_sec, detail 열이 행마다 표시되고 시간순인지 확인한다.	화면1 재생/프리런 완료	caseA 설정으로 시작	Timetable에 공정·애니 시간 정보가 설정·엔진 결과와 일치하게 표시된다.		
EBS Timetable — 공정별 time 정보 (CASE B)	화면2 Timetable을 CASE A와 다른 설정으로 확인한다.	화면2 재생/프리런	caseB 다른 LOT·시간 설정	화면2 Timetable이 CASE B 설정에 맞는 time 정보를 표시한다.		
EBS Bar graph — 포트별 상태·시간	재생/프리런 후 Bar graph(ALL_EP, EP, INOUT, BP 행)에서 empty/load/proc/unload/down 구간이 눈으로 구분되고 EBS OFF 화면은 EP 중심 행만 있는지 확인한다.	EBS ON/OFF 혼합 2화면	caseA EBS ON; caseB EBS OFF	각 화면 bar graph 구성이 EBS 적용 여부·EP 개수와 일치한다.		
EBS 웹 time table / 공정 시간 표시	웹 UI에서 시뮬 시작 후(또는 RESULT 후) time table·공정 시간 목록이 case0·case1별로 표시되는지 확인한다.	Kit·웹 연결; 재생 또는 시작 완료	양쪽 case	웹에 case별 timetable/time 정보가 Kit Timetable과 대응한다.		
EBS 재생 중 정지·재시작 — 화면별	화면1·2 동시 재생 중 한쪽만 Kit 「정지」 또는 웹 stop(case)을 실행한다. 해당 화면만 초기화되고 다른 화면은 계속 재생되는지 확인한다.	동시 재생 중	 case0 정지; case1 유지	선택 화면만 정지·초기화된다.		
EBS EBS OFF 시 EP-only 투입 경로	 CASE B EBS OFF, EP=2로 설정 후 시작한다. OHT→EP 직접 투입·EP FOUP·EP→OHT 회수만 3D/Timetable에 나타나고 IN/OUT·BP 이동 이벤트가 없는지 확인한다.	EBS OFF; 화면2	caseB ebs_enabled OFF	버퍼·IN/OUT 경로 없이 EP 포트 중심 시뮬만 진행된다.		
EBS 설정→시뮬 전체 흐름 (CASE A)	 CASE A에서 EBS·EP·LOT·시간·init 설정 → 「시작」 → Timetable·Viewport·Bar graph까지 한 번에 확인한다.	화면1 준비	caseA 대표 설정 세트	설정값이 프리런·재생·표시 UI 전 구간에서 일관된다.		end-to-end 실무 시나리오.
EBS 설정→시뮬 전체 흐름 (CASE A·B 동시)	 CASE A·B 각각 다른 설정 → copy 없이 독립 시작 → 양쪽 Timetable time·3D·bar graph를 동시 관찰한다.	듀얼 화면	 caseA EBS ON; caseB EBS OFF; 기타 상이 값	두 화면이 독립 설정으로 end-to-end 동작한다.		end-to-end 실무 시나리오.
