테스트케이스명	테스트 절차	사전조건	테스트데이터	예상결과	테스트결과	비고
LAM RUN — caseA만 RUN	 caseA에만 1건 ADD 후 RUN을 클릭한다. caseB는 비어 있는 상태에서 RUN·RESULT 동작을 확인한다.	caseA만 배치	caseA 1건; caseB 비움	RUN 후 RESULT 활성화. RESULT 실행 시 화면1( caseA )만 시뮬 대상이 된다.		
LAM RUN — caseA·caseB 동시 RUN	 caseA·caseB 각각 다른 건 ADD 후 RUN을 클릭한다.	2건 ADD 완료	서로 다른 eqp_id/lot_id 2건	RUN 완료 후 RESULT 활성화. 이후 RESULT에서 두 화면 모두 재생 준비가 된다.		
LAM RESULT — caseA(화면1) 시뮬레이션 동작	 caseA만 설정된 상태에서 RUN 후 RESULT를 클릭한다. Kit 화면1 Viewport에서 3D 장비·FOUP·웨이퍼 애니메이션이 재생되는지, 타임라인(또는 재생 UI)이 진행되는지 확인한다.	RUN 완료; RESULT 활성; 화면1 USD 로드	caseA 1건 RESULT	화면1에서 선택한 조회 데이터에 맞는 시뮬레이션이 시작되고 prim 이동·공정 진행이 눈에 보인다.		코드 로그가 아닌 화면·3D 동작 검증.
LAM RESULT — caseB(화면2) 시뮬레이션 동작	 caseB만 설정(또는 caseA 비우고 caseB만) RUN 후 RESULT를 클릭한다. Kit 화면2 Viewport 재생을 확인한다.	화면2 USD·런타임 준비	caseB 1건 RESULT	화면2에서만 시뮬이 재생되고 화면1은 재생하지 않는다.		
LAM RESULT — caseA·caseB 동시 시뮬레이션	 caseA·caseB에 서로 다른 2건 ADD → RUN → RESULT 순으로 실행한다. Kit 화면1·화면2 Viewport를 동시에 관찰한다.	듀얼 화면 표시; 2건 ADD	서로 다른 2건 RESULT	두 Viewport에서 각각 독립적으로 재생이 진행되며 한쪽 설정·재생이 다른 쪽에 섞이지 않는다.		
LAM RESULT — 재생 중 공정·시간 정보 표시	RESULT로 재생을 시작한 뒤 웹 UI 또는 Kit 재생창의 타임라인·공정 시간·현재 lot 정보가 진행에 맞게 갱신되는지 확인한다.	RESULT 재생 중	 caseA 또는 양쪽 재생	재생 시점에 맞춰 공정 구간·시간 표시가 갱신되고 멈춤 없이 이어진다.		
LAM RESULT — 재생 중 정지(초기화)	재생 중 웹 UI의 정지(또는 stop) 기능을 caseA, caseB 각각 실행한다. 해당 Viewport prim·재생 상태가 초기화되는지 확인한다.	양쪽 동시 재생 중	 caseA 정지; caseB 정지(별도)	선택한 화면만 재생이 멈추고 3D 상태가 초기화되며 다른 화면 재생은 유지된다(한쪽만 정지 시).		
LAM RESULT — 재생 중 화면별 제어(공정만보기·탑뷰 등)	재생 중 웹 UI에서 caseA·caseB 각각 공정만보기, 탑뷰, FOUP/기기정보/웨이퍼 표시 등을 켜고 끈다.	재생 중; 웹 제어 UI 제공	case=0/1 별 토글	선택한 화면 Viewport·오버레이만 변경되고 다른 화면 설정은 유지된다.		웹 UI에 해당 컨트롤이 있을 때 수행.
LAM ADD→RUN→RESULT 전체 흐름(1화면)	SEARCH → 1건 체크 → ADD → RUN → RESULT를 처음부터 끝까지 1회 수행한다.	서버·Kit·웹 정상	유효 조회 1건	전 단계 버튼 활성/표시가 순서대로 진행되고 최종적으로 화면1 시뮬이 정상 재생된다.		실무 시나리오 end-to-end.
LAM ADD→RUN→RESULT 전체 흐름(2화면)	SEARCH → 2건 체크(순서 확인) → ADD → RUN → RESULT를 수행한다.	듀얼 화면	서로 다른 2건	 caseA·caseB 배치 → RUN → RESULT 후 두 화면이 각각 독립 재생된다.		실무 시나리오 end-to-end.
