테스트 케이스 ID	테스트 케이스명	테스트 절차	사전조건	테스트데이터	예상결과	비고
없음	LAM 프리런 및 재생 계획 생성	파싱한 dwell 데이터로 프리런을 수행하고 재생 블록 및 타임라인 생성 결과를 확인한다.	유효한 dwell 데이터와 이벤트 JSON 파일 존재	dwell 시작/종료 시간; lot_id; cassette_slot; module_nm; process_tm	시간순 schedule과 JSON 실행 block이 생성되고 final_csv_time 및 build_ms가 계산되며 화면별 캐시에 저장된다.	CSV_PRERUN_EXPORT_JSON=True이면 화면별 결과 파일도 생성된다.
없음	LAM CSV 파일 직접 파싱·재생	화면별 CSV 재생창에서 CSV를 선택하고 Play를 실행한다.	유효한 CSV 및 이벤트 JSON 존재	eqp_id; module_nm; lot_id; cassette_slot; eqp_start_tm; eqp_end_tm; process_tm	CSV가 dwell 타임라인으로 변환되고 지정 시간에 맞춰 prim 이동, visibility 및 JSON 애니메이션이 실행된다.	Federation 서버를 사용하지 않는 로컬 재생 경로이다.
없음	LAM 화면1 단독 시뮬레이션 재생	화면1 설정만 제공하고 파싱·시뮬 또는 웹 start_simulation을 실행한다.	화면1 USD·재생 런타임 준비	configs[0]=유효값; configs[1]={}	화면1만 표시·재생되고 화면2는 재생을 시작하지 않는다.	configs 배열의 인덱스 0은 화면1이다.
없음	LAM 화면2 단독 시뮬레이션 재생	화면2 설정만 제공하고 파싱·시뮬 또는 웹 start_simulation을 실행한다.	화면2 독립 Stage·재생 런타임 준비	configs[0]={}; configs[1]=유효값	화면2 전용 Context와 Stage에서만 재생되고 화면1은 재생을 시작하지 않는다.	configs 배열의 인덱스 1은 화면2이다.
없음	LAM 화면1·2 동시 시뮬레이션 재생	화면1과 화면2 configs를 모두 제공하여 웹 start_simulation을 실행한다.	두 화면 USD·재생 런타임 및 Federation 서버 준비	configs[0], configs[1]에 서로 다른 eqp_id/lot_id	두 화면 데이터가 병렬 조회·파싱되고 각 화면 Stage에서 독립적으로 동시에 재생된다.	한 화면의 데이터나 카메라 상태가 다른 화면에 혼입되지 않아야 한다.
없음	LAM 화면별 일시정지 및 이어서 재생	두 화면 동시 재생 중 화면1을 일시정지하고 화면2 진행 여부를 확인한 뒤 화면1을 이어서 재생한다.	두 화면 동시 재생 중	case=0 또는 화면1 UI pause/resume	화면1 playhead만 정지·재개되고 화면2는 중단 없이 계속 진행한다.	화면별 worker, stop event, playhead가 독립적이어야 한다.
없음	LAM 화면별 정지 및 초기화	두 화면 동시 재생 중 T2V_request_stop_simulation에 case 0 또는 1을 전달한다.	HyView 연결 및 두 화면 재생 중	{"case":0}; {"case":1}	선택 화면만 정지되고 Z·MOVE prim과 visibility가 초기 상태로 복원되며 다른 화면 재생은 유지된다.	성공 응답은 V2T_response_stop_simulation의 data.case에 요청값을 반환한다.
없음	LAM 화면별 재생 배속 변경	재생 중 화면별 speed 모델 또는 T2V_control_simulation으로 서로 다른 배속을 적용한다.	대상 화면 재생 중	case=0 speed=2.0; case=1 speed=0.5	각 화면의 진행 속도가 지정 배속으로 변경되고 다른 화면 배속은 유지된다.	허용 범위를 벗어난 값의 보정 또는 실패 처리도 확인한다.
없음	LAM 재생 중 공정만보기 전환	일반 재생 중 proc_only를 True로 변경하고 이후 False로 복귀한다.	대상 화면에 dwell 및 JSON 공정 블록 존재	case=0 또는 1; proc_only=True/False	전환 시 재생이 멈추지 않고 idle 구간을 생략하여 JSON 공정 블록을 1배속으로 이어서 재생하며 해제 시 정상 모드로 복귀한다.	화면2에서도 화면1과 동일하게 동작해야 한다.
없음	LAM 재생 중 탑뷰 전환	화면1과 화면2 재생 중 각각 show_top_view를 True/False로 변경한다.	각 화면 카메라 및 Viewport 준비	case=0/1; show_top_view=True/False	선택 화면에 즉시 탑뷰가 적용·해제되고 다른 화면 카메라에는 영향을 주지 않는다.	camera fly 활성 상태에서도 체크한 탑뷰가 우선 반영되어야 한다.
없음	LAM 화면별 Play 카메라 fly	화면1·2에서 camera fly를 활성화하고 각각 재생을 시작한다.	화면별 카메라 경로와 Viewport 준비	play_camera_fly=True; 화면별 시작 위치	각 화면 카메라가 자신의 사전 정의 위치로 이동한 후 시뮬레이션을 시작하고 다른 화면 카메라가 움직이지 않는다.	화면2는 aux Viewport 카메라를 사용해야 한다.
없음	LAM prim 숨김 실시간 제어	재생 전·중 prim_hide를 True/False로 변경한다.	숨김 대상 prim 설정 및 화면별 Stage 준비	case=0/1; prim_hide=True/False	선택 화면 Stage의 지정 prim만 숨김·복원되고 체크박스 상태가 강제로 변경되지 않는다.	STARTUP_CHECK_PLAY_PRIM_HIDE=False 기동 조건도 확인한다.
없음	LAM FOUP 상태 오버레이	재생 중 foup_info_show를 화면별로 활성화·비활성화한다.	FOUP 상태 데이터 및 3D 라벨 런타임 준비	case=0/1; foup_info_show=True/False	선택 화면의 FOUP 상태 3D 표시만 즉시 변경되고 다른 화면은 기존 상태를 유지한다.	재생 진행 상태와 표시 내용이 일치해야 한다.
없음	LAM 기기정보 오버레이	재생 중 eqp_info_show를 화면별로 활성화·비활성화한다.	기기 라벨 대상 prim 및 화면별 Stage 준비	case=0/1; eqp_info_show=True/False	선택 화면의 기기정보 라벨만 표시·숨김 처리된다.	화면2 라벨은 화면2 Context에서 생성되어야 한다.
없음	LAM 웨이퍼 번호 오버레이	재생 중 wafer_number_show를 화면별로 활성화·비활성화한다.	웨이퍼 prim 및 lot/cassette 데이터 준비	case=0/1; wafer_number_show=True/False	선택 화면에 현재 웨이퍼 번호 라벨이 올바른 위치에 표시되고 해제 시 제거된다.	다른 화면의 라벨 상태와 독립적이어야 한다.
없음	LAM 웹 시뮬레이션 시작	T2V_request_start_simulation으로 화면별 configs를 보내고 Federation 조회부터 자동 재생까지 확인한다.	HyView 연결; Federation 서버; 화면별 USD 준비	{"configs":[{화면1 요청 body},{화면2 요청 body}]}	설정이 있는 화면에 대해 전체 pagination 조회, 파싱, 프리런, preflight 및 재생이 수행되고 V2T_response_start_simulation success가 반환된다.	현재 응답 data.results는 빈 object 두 칸의 placeholder이다.
없음	LAM 웹 실시간 선택 제어	T2V_control_simulation에 case와 일부 optional 항목만 보내고 응답 및 상태를 확인한다.	HyView 연결; 대상 화면 런타임 준비	case; proc_only; show_top_view; foup_info_show; eqp_info_show; wafer_number_show; prim_hide; speed 중 일부	전달된 항목만 선택 화면에 적용되고 누락 항목은 기존값을 유지하며 응답 data에 요청 payload가 echo된다.	case 0=화면1; case 1=화면2.
없음	LAM 웹 잘못된 화면 요청	stop 또는 control 이벤트에 case 0·1 이외의 값을 전달한다.	HyView 연결	{"case":-1}; {"case":2}; 숫자가 아닌 case	code=1과 오류 message가 반환되고 어떤 화면의 재생·설정도 변경되지 않는다.	오류 응답 data에는 요청 case 또는 payload를 유지한다.
없음	LAM Federation 통신 오류	Federation URL, hosts 또는 인증 정보를 잘못 설정하고 웹 start_simulation을 요청한다.	HyView 연결	잘못된 URL; 미등록 host; 잘못된 token; timeout	시뮬레이션을 시작하지 않고 code=1 응답 및 원인 로그를 남기며 Kit 앱과 다른 화면은 계속 동작한다.	오류 발생 시 무한 pagination이나 UI 멈춤이 없어야 한다.
