테스트 케이스 ID	테스트 케이스명	테스트 절차	사전조건	테스트데이터	예상결과	비고
없음	EBS 화면1 단독 재생	화면1 프리런 결과만 활성화하여 재생하고 화면2 상태를 확인한다.	화면1 프리런 완료	화면1 재생 대상; 화면2 미선택	화면1 Stage와 모니터만 진행되고 화면2 Stage 및 playhead는 변경되지 않는다.	화면별 재생 세션 독립성을 확인한다.
없음	EBS 화면2 단독 재생	화면2 프리런 결과만 활성화하여 재생하고 화면1 상태를 확인한다.	화면2 프리런 완료	화면2 재생 대상; 화면1 미선택	화면2 독립 Stage에서만 애니메이션, 포트 상태 및 타임라인이 진행된다.	화면2가 화면1 기본 Context를 사용하지 않아야 한다.
없음	EBS 화면1·2 동시 재생	서로 다른 설정으로 두 화면 프리런 후 동시에 재생한다.	두 화면 프리런 완료	화면1·2 서로 다른 LOT 수, EP 수, EBS 설정	각 화면의 player, session, playhead, 포트 상태와 애니메이션이 독립적으로 동시에 진행된다.	한 화면 종료 또는 오류가 다른 화면 재생을 중단시키지 않아야 한다.
없음	EBS 재생·일시정지·배속 제어	시뮬레이션 재생 중 pause, play 및 여러 speed 값을 적용한다.	프리런 완료 및 재생 준비	action=play/pause; speed=0.5/1.0/2.0	pause 시 진행 시간이 정지하고 play 시 재생되며 speed에 비례해 Kit 시뮬레이션 시간이 진행된다.	이미 재생 중 play 요청 시 실패 응답 여부를 확인한다.
없음	EBS 시뮬레이션 정지 및 초기화	재생 도중 정지·초기화를 실행하고 Stage, 포트 및 UI 상태를 확인한다.	시뮬레이션 재생 중	정지 명령	재생 worker와 애니메이션이 종료되고 prim transform, 포트 상태, playhead 및 모니터가 초기 상태로 복원된다.	정지 후 재시작이 정상 동작해야 한다.
없음	EBS Timetable 생성	프리런 완료 후 화면별 Timetable 창의 행 순서와 표시 내용을 확인한다.	프리런 결과에 event와 progress 항목 존재	t; event; lot_id; label; anim; proc_sec; anim_sec; detail	각 화면 행이 t 오름차순으로 생성되고 이벤트·공정시간·애니메이션·상세정보가 결과 데이터와 일치한다.	같은 t의 event와 step 정렬 규칙을 확인한다.
없음	EBS Bar graph 상태 계산	프리런 후 ALL_EP, EP, INOUT 및 BP 막대의 상태 구간과 누적 시간을 확인한다.	프리런 완료; EBS 적용/미적용 케이스 준비	empty; load; proc; unload; down 상태	각 행의 segment 순서와 duration 합계가 전체 시뮬레이션 시간 및 포트 상태 이력과 일치한다.	ALL_EP 상태 우선순위와 EBS 미적용 행 구성을 확인한다.
없음	EBS Bar graph empty 비율 계산	프리런 JSON의 bar_graph.empty_pct 값을 수동 계산값과 비교한다.	상태별 duration_sec_by_row 생성 완료	all_ep_empty_pct; ep1_empty_pct; ep2_empty_pct; ep3_empty_pct; inout/bp empty_pct	각 값이 해당 막대의 empty 누적시간을 그 막대 전체시간으로 나눈 백분율과 일치하고 소수 둘째 자리로 제공된다.	존재하는 row_order의 각 막대별 키가 생성되어야 한다.
없음	EBS Timetable 누적 empty 비율	여러 시점의 timetable 행에서 all_ep_empty_pct를 확인한다.	ALL_EP segment와 timetable 행 생성 완료	초기·중간·종료 t 값	각 행의 all_ep_empty_pct가 해당 t까지 진행된 시간 대비 ALL_EP empty 누적시간의 백분율과 일치한다.	값은 프리런 JSON 생성 시점에 포함되어야 한다.
없음	EBS 막대그래프 시간 seek	막대그래프의 여러 시간 위치를 선택하고 화면별 상태를 확인한다.	해당 화면 프리런 및 seek snapshot 준비	case=0/1; t=초기/중간/종료 시간	요청 시간이 유효한 timetable 행으로 스냅되고 playhead, 포트 상태, Timetable 강조 및 Stage 상태가 해당 시점으로 이동한다.	다른 화면의 playhead와 Stage 상태는 유지되어야 한다.
없음	EBS 웹 EP 포트 개수 변경	T2V_request_eqp_change를 화면별로 보내고 응답 및 prim 레이아웃을 확인한다.	HyView 연결; 두 화면 Stage 준비	{"case":0,"eqp_id":"SPW1102","ep_count":2}; case=1 ep_count=3	지정 화면 EP 개수와 레이아웃만 변경되고 V2T_response_eqp_change에 case와 ep_count가 반환된다.	eqp_id는 식별용으로 수신되며 현재 Kit 동작에는 사용하지 않는다.
없음	EBS 웹 EBS 적용 변경	T2V_request_ebs_enable을 화면별로 보내고 응답 및 포트 구성을 확인한다.	HyView 연결; 화면별 런타임 준비	{"case":0,"ebs_enable":true}; {"case":1,"ebs_enable":false}	지정 화면 EBS 설정과 레이아웃이 변경되고 V2T_response_ebs_enable에 요청값이 반환된다.	configs[n].ebs_enabled를 통한 시작 시 적용도 별도로 확인한다.
없음	EBS 웹 시뮬레이션 시작	T2V_request_start_simulation으로 configs 두 개를 전송하고 프리런·재생 및 응답을 확인한다.	HyView 연결; 두 화면 USD·엔진 준비	configs[0]/configs[1]에 fab_id, model_id, eqp_id, LOT·EP·EBS·시간 설정	각 화면 설정이 적용되고 프리런·재생이 시작되며 V2T_response_start_simulation의 data.results[0/1]에 화면별 slim 결과가 반환된다.	configs 인덱스 0=화면1, 1=화면2이며 원소 내부 case는 사용하지 않는다.
없음	EBS 시작 응답 Timetable 시간 배열	start_simulation 성공 응답의 각 result.timeline.timetable_rows 타입과 값을 확인한다.	웹 시뮬레이션 시작 및 프리런 완료	여러 t 값을 가진 화면별 timetable	각 timetable_rows는 문자열이나 object가 아닌 number t 배열이며 실제 slim 행 순서와 개수가 일치하고 같은 t는 중복 유지된다.	예: [9.96,19.59,19.59,27.21].
없음	EBS Timeline chunk 미전송	start_simulation 이후 수신 이벤트를 확인하여 구 timeline chunk 이벤트가 발생하지 않는지 검증한다.	HyView V2T 이벤트 수신 로그 준비	start_simulation 요청	V2T_response_start_simulation만 timetable t 배열을 전달하고 V2T_response_simulation_timeline 이벤트는 전송되지 않는다.	개별 행은 T2V_request_time_table로 조회한다.
없음	EBS 시간별 Timetable 행 조회	start 응답의 t 값 하나를 선택하여 T2V_request_time_table을 요청한다.	start_simulation 완료 및 case별 slim 행 보관	case=0/1; time=응답 배열의 t 값	V2T_response_time_table의 data.time_table에 해당 실제 행 object가 문자열 변환 없이 반환된다.	step 행은 t, event, label, anim, proc_sec, anim_sec, detail, all_ep_empty_pct 등을 포함할 수 있다.
없음	EBS 동일 시간 Timetable 행 선택	FOUP_PROCESS_START 또는 END와 다른 step 행이 동일 t에 존재하는 시간을 조회한다.	동일 t의 복수 행이 포함된 프리런 결과	case; 동일한 time	FOUP_PROCESS_START/FOUP_PROCESS_END가 아닌 행이 우선 선택되어 time_table에 반환된다.	time 비교 허용 오차는 0.005초이다.
없음	EBS Timetable 조회 실패	start 전 또는 존재하지 않는 time으로 T2V_request_time_table을 요청한다.	HyView 연결	존재하지 않는 time; 잘못된 case; start 이전 요청	code=1, 오류 message 및 빈 time_table object가 반환되고 Kit 시뮬레이션 상태는 변경되지 않는다.	요청 case와 time은 오류 응답 data에 유지한다.
없음	EBS 웹 재생 제어	T2V_request_control_simulation으로 play, pause와 speed를 요청한다.	start_simulation 프리런 완료	{"action":"play","speed":2.0}; {"action":"pause","speed":1.0}	Kit 공용 재생 상태와 배속이 변경되고 V2T_response_control_simulation에 active와 실제 speed가 반환된다.	이 이벤트에는 case가 없으며 공용 제어로 동작한다.
없음	EBS 웹 시간 seek	T2V_request_seek_simulation으로 화면별 t를 요청한다.	해당 화면 프리런 완료	{"case":0,"t":120.0}; {"case":1,"t":60.0}	지정 화면이 실제 timetable 시각으로 이동하고 응답에 case, 실제 t, t_requested, row_index가 반환된다.	프리런이 없으면 code=1을 반환한다.
없음	EBS 웹 진행시간 동기화	재생 중 웹 시계와 Kit 시계를 다르게 만든 뒤 T2V_request_time_sync에 빈 object를 보낸다.	HyView 연결; 화면1 시뮬레이션 재생 중	{}	V2T_response_time_sync가 code=0과 Kit 화면1 현재 시뮬레이션 시간 data.time을 소수 둘째 자리로 반환한다.	플레이어가 없으면 EP 타임라인 시각을 사용하고 확인 불가 시 0.0을 반환한다.
없음	EBS 원본 프리런 JSON 생성	프리런 완료 후 원본 JSON 파일의 sim, timeline 및 bar_graph 구조를 확인한다.	프리런 JSON 저장 활성화	화면별 프리런 결과	원본 JSON에 화면별 설정, 전체 timetable meta, bar segments, duration 및 empty_pct가 포함되고 timetable json_obj에 all_ep_empty_pct가 포함된다.	원본은 Kit 내부 검증과 디스크 저장용이다.
없음	EBS Web slim temp JSON 생성	원본 프리런 결과로 web slim temp JSON을 생성하고 축소 규칙을 확인한다.	원본 프리런 JSON 생성 완료	FOUP event 행; anim이 있는 step 행; 제외 대상 행	web slim에는 규칙에 맞는 행만 남고 screen, kind, process_time_priority가 제거되며 각 timetable 행은 JSON 문자열이 아닌 object로 저장된다.	start 응답에서는 이 object 배열을 다시 t 숫자 배열로 치환한다.
없음	EBS 잘못된 웹 요청 처리	각 T2V 이벤트에 잘못된 case, action, 숫자 형식 또는 누락 필드를 전달한다.	HyView 연결	잘못된 case; action="unknown"; 숫자가 아닌 t/time/ep_count	code=1과 오류 message가 반환되고 기존 시뮬레이션과 Stage 상태는 안전하게 유지된다.	오류 응답 data에는 가능한 요청 정보가 유지되어야 한다.
없음	EBS 재생 완료 후 화면별 상태	화면1과 화면2의 종료 시간이 다른 동시 재생을 끝까지 진행한다.	두 화면 동시 재생 및 서로 다른 final_sim_time 설정	화면1 짧은 일정; 화면2 긴 일정	먼저 끝난 화면은 완료 상태를 유지하고 다른 화면은 자신의 종료 시점까지 계속 진행하며 최종 port, bar, timetable 상태가 각각 정확하다.	공용 tick에서 한 화면 완료가 전체 재생을 조기 종료하지 않아야 한다.
